claim_id,product_name,category,brand,model_number,serial_number,retailer,purchase_date,purchase_price,warranty_duration_months,warranty_end_date,claim_date,product_age_days,remaining_warranty_days,fault_type,fault_covered,repair_history_count,serial_number_entered,serial_number_match,documents_provided,missing_document_count,claim_date_before_purchase,repair_date_before_purchase,class_label,split
CLM-000001,Washing Machine,Home Appliance,Cleanwave,CW-700,SN28728463,TechHub Store,2022-08-17,549.76,12,2023-08-12,2023-06-17,304,56,Compressor failure,True,0,SN28728463,True,"receipt,warranty_card,product_photo,serial_evidence,fault_evidence",0,False,False,Valid Claim,train
CLM-000002,Laptop,Electronics,Vertex,VT-14,SN22575562,MegaMart Electronics,2025-01-21,722.55,12,2026-01-16,2026-01-09,353,7,Battery defect,True,1,SN22575562,True,"receipt,warranty_card,product_photo,serial_evidence,fault_evidence",0,False,False,Valid Claim,validation
CLM-000003,Smartphone,Electronics,Nova,NV-X1,SN83140807,HomeStyle Retail,2025-05-17,543.19,12,2026-05-12,2025-12-16,213,147,Display fault,True,0,SN83140807,True,"receipt,warranty_card,product_photo,serial_evidence,fault_evidence",0,False,False,Valid Claim,train
CLM-000004,Television,Electronics,Vistara,VS-43,SN66722344,MegaMart Electronics,2025-04-21,773.43,12,2026-04-16,2026-03-23,336,24,Component failure,True,0,SN66722344,True,"receipt,warranty_card,product_photo,serial_evidence,fault_evidence",0,False,False,Valid Claim,train
CLM-000005,Washing Machine,Home Appliance,Cleanwave,CW-700,SN60992979,MegaMart Electronics,2023-03-17,356.65,36,2026-03-01,2025-12-02,991,89,Motor malfunction,True,0,SN60992979,True,"receipt,warranty_card,product_photo,serial_evidence,fault_evidence",0,False,False,Valid Claim,validation
CLM-000006,Smartphone,Electronics,Nova,NV-200,SN81971316,MegaMart Electronics,2025-05-21,522.08,12,2026-05-16,2026-04-28,342,18,Display fault,True,0,SN81971316,True,"receipt,warranty_card,product_photo,serial_evidence,fault_evidence",0,False,False,Valid Claim,train
CLM-000007,Air Conditioner,Home Appliance,Chillmax,CM-1.5T,SN87490893,MegaMart Electronics,2022-06-11,1361.68,24,2024-05-31,2024-04-07,666,54,Manufacturing defect,True,0,SN87490893,True,"receipt,warranty_card,product_photo,serial_evidence,fault_evidence",0,False,False,Valid Claim,train
CLM-000008,Air Conditioner,Home Appliance,Chillmax,CM-1T,SN41244663,CityWide Appliances,2022-04-04,828.88,24,2024-03-24,2023-12-29,634,86,Display fault,True,0,SN41244663,True,"receipt,warranty_card,product_photo,serial_evidence,fault_evidence",0,False,False,Valid Claim,train
CLM-000009,Air Conditioner,Home Appliance,Chillmax,CM-1T,SN59684848,HomeStyle Retail,2023-07-24,537.44,18,2025-01-14,2025-01-09,535,5,Compressor failure,True,0,SN59684848,True,"receipt,warranty_card,product_photo,serial_evidence,fault_evidence",0,False,False,Valid Claim,validation
CLM-000010,Refrigerator,Home Appliance,FrostLine,FL-220,SN91756179,TechHub Store,2023-07-01,1018.34,24,2025-06-20,2024-06-29,364,356,Battery defect,True,2,SN91756179,True,"receipt,warranty_card,product_photo,serial_evidence,fault_evidence",0,False,False,Valid Claim,train
CLM-000011,Washing Machine,Home Appliance,Cleanwave,CW-700,SN53524491,TechHub Store,2023-05-17,710.46,12,2024-05-11,2024-04-29,348,12,Manufacturing defect,True,0,SN53524491,True,"receipt,warranty_card,product_photo,serial_evidence,fault_evidence",0,False,False,Valid Claim,train
CLM-000012,Air Conditioner,Home Appliance,Chillmax,CM-1.5T,SN45935572,MegaMart Electronics,2023-04-15,1483.47,24,2025-04-04,2025-01-12,638,82,Battery defect,True,0,SN45935572,True,"receipt,warranty_card,product_photo,serial_evidence,fault_evidence",0,False,False,Valid Claim,train
CLM-000013,Laptop,Electronics,Vertex,VT-15Pro,SN29175900,MegaMart Electronics,2023-10-07,837.13,12,2024-10-01,2023-12-18,72,288,Component failure,True,0,SN29175900,True,"receipt,warranty_card,product_photo,serial_evidence,fault_evidence",0,False,False,Valid Claim,train
CLM-000014,Air Conditioner,Home Appliance,Chillmax,CM-1.5T,SN88320463,HomeStyle Retail,2025-02-23,515.43,18,2026-08-17,2026-05-21,452,88,Component failure,True,0,SN88320463,True,"receipt,warranty_card,product_photo,serial_evidence,fault_evidence",0,False,False,Valid Claim,test
